Username,Handle,Timestamp,Tweet Text,Comments,Retweets,Likes
O Mundo do Futebol,@omundodofuteboI,2022-09-26T19:45:04.000Z,Futebol em estado puro!,1,4,94
Samuel Venâncio™,@samuelvenancio,2022-09-25T13:46:31.000Z,"Sabe aquela imagem da semana passada postada pelo João Adibe, dono da Cimed? Então, não vai ficar somente nisso. Empresa quer patrocinar clubes do futebol brasileiro e dois estão definidos: Cruzeiro e Palmeiras #CanalSamuelVenâncio",227,741,6.043
Komi Todo Dia,@KomiTodoDia,2022-09-25T17:08:32.000Z,"Dia 18

Tema: Futebol 

Brasil//Vasco//Santa Cruz//Flamengo",4,8,24
SC Parâmetro,@scparametro,2022-09-25T23:07:15.000Z, CAMPEÕES! O Belgrano faz história e retorna à elite do futebol argentino com um inédito título da Primera Nacional!,,11,58
Jogada de camisa 10,@jogadadcamisa10,2022-09-27T15:04:14.000Z,Essa conta é muito legal! #jogadadecamisa10 #futebol #sdv,,,
FutebolScore_palpites,@FutebolScoreTip,2022-09-27T14:25:00.000Z,"Livestream grátis de Senegal vs Irã !

#UEFANationsLeague  2022

vs|11:30 
|Senegal x Irã  

Live：https://futebolscore.com/football/match/2293326?from=dica…

#Senegal #Iran #Futebol #Live #LiveStream",,,
Base Corinthiana,@BaseCorinthiana,2022-09-26T19:45:04.000Z,"As brabinhas são BRABAAAAS 

O sub-17 do nosso futebol feminino enfrentou o São Bernardo pela quarta rodada do Paulista Feminino da categoria e venceu a partida por 6x0!

Mais um jogão delas! 

VAAAAAAAAAI CORINTHIANS!",,8,78
"""Futebol Poesia""",@FutebolPoesia,2022-09-26T15:15:21.000Z,"Ótima semana!
#ForaBolsonaro",,1,6
Futebolrei,@futebolreii,2022-09-25T14:30:00.000Z,"A CBF analisa 3 nomes do futebol brasileiro para assumir o comando da seleção após a saída de Tite:

 Abel Ferreira
 Dorival Junior
 Fernando Diniz

 Olho neles!",1,16,96
Jogada de camisa 10,@jogadadcamisa10,2022-09-26T16:21:49.000Z,"Essa conta é muito legal!  #sdvtodos
#futebol",,,
